"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipModuleLoad",3,2826059791,942019930.333333,77.42,107918013,1530371876,742387051.693071
"hipMemcpy",2712,586093247,216111.079277,16.06,15899,222351487,4322873.165079
"hipFree",7392,84348892,11410.834957,2.31,893,421444,21755.668344
"hipGetDeviceCount",3,71737253,23912417.666667,1.97,107,71736572,41416932.567833
"hipLaunchKernel",4078,33176221,8135.414664,0.9089,3761,5119127,81434.097050
"hipMalloc",7393,24713415,3342.812796,0.6770,753,194154,9630.844462
"hipExtModuleLaunchKernel",1859,11467903,6168.855836,0.3142,4511,122435,4711.429620
"hipDeviceGetAttribute",31856,4814133,151.121704,0.1319,118,2179,29.258655
"hipGetDevicePropertiesR0600",23372,3571634,152.816789,0.0978,94,2799,51.319124
"hipSetDevice",23435,1657668,70.734713,0.0454,48,3600,61.722490
"hipGetDevice",23366,1604804,68.681161,0.0440,43,10551,74.979741
"hipRuntimeGetVersion",15929,772751,48.512210,0.0212,40,1015,13.803215
"hipGetLastError",4083,287137,70.325006,7.866e-03,39,1341,60.310096
"hipModuleGetFunction",9,22156,2461.777778,6.070e-04,760,4555,1213.961570
"hipMemset",1,16418,16418.000000,4.498e-04,16418,16418,0.00000000e+00
"hipDeviceSynchronize",2,1821,910.500000,4.989e-05,524,1297,546.593542
"hipDriverGetVersion",1,881,881.000000,2.413e-05,881,881,0.00000000e+00
