"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipModuleLoad",3,2950438466,983479488.666667,79.86,113149768,1594564195,773985244.835748
"hipMemcpy",594,546628925,920250.715488,14.80,18313,228203812,9440926.048606
"hipGetDeviceCount",3,57062846,19020948.666667,1.54,114,57062315,32944789.639685
"hipLaunchKernel",4134,42831294,10360.738752,1.16,3478,6719710,105507.421451
"hipFree",3434,41443346,12068.534071,1.12,922,459462,21827.154276
"hipMalloc",3803,20001074,5259.288456,0.5414,794,225321,13957.855609
"hipExtModuleLaunchKernel",1859,12741586,6854.000000,0.3449,3612,236119,7170.722952
"hipEventRecord",2760,8168088,2959.452174,0.2211,707,93674,4580.443267
"hipDeviceGetAttribute",31856,5123954,160.847376,0.1387,119,8619,67.961843
"hipGetDevicePropertiesR0600",23372,3796102,162.420931,0.1028,93,7685,77.082915
"hipGetDevice",23366,1579457,67.596379,0.0428,43,970,33.392143
"hipSetDevice",18978,1473204,77.626936,0.0399,49,14542,128.521750
"hipEventCreateWithFlags",2760,987628,357.836232,0.0267,81,65834,2226.474539
"hipRuntimeGetVersion",15929,779689,48.947768,0.0211,39,8143,66.807069
"hipEventQuery",2405,533040,221.638254,0.0144,68,1960,162.198412
"hipEventDestroy",2392,465703,194.691890,0.0126,86,3835,177.201757
"hipGetLastError",4139,282519,68.257792,7.647e-03,39,1744,61.434035
"hipMemset",1,23713,23713.000000,6.419e-04,23713,23713,0.00000000e+00
"hipModuleGetFunction",9,23089,2565.444444,6.250e-04,1279,3746,970.498855
"hipDeviceSynchronize",2,13928,6964.000000,3.770e-04,1126,12802,8256.178777
"hipDriverGetVersion",1,1071,1071.000000,2.899e-05,1071,1071,0.00000000e+00
