Name,Calls,TotalDurationNs,AverageNs,Percentage,MinNs,MaxNs,StdDev
hipModuleLoad,3,1795386947,598462315.6666666,54.77505592082983,111889692,1256234235,482606124.7028414
hipMemcpy,699,1259632510,1802049.3705293275,38.42984449131413,23558,244208369,9915574.475909917
hipLaunchKernel,5990,60041149,10023.564106844742,1.831781889425687,3239,7978967,103340.21532505886
hipGetDeviceCount,3,57126528,19042176.0,1.7428603739107227,50,57125846,26929221.310518876
hipMalloc,950,35693648,37572.26105263158,1.0889694661562088,710,631654,49619.16459193288
hipFree,423,27774681,65661.18439716312,0.8473714858517403,1223,608166,65199.244289983224
hipExtModuleLaunchKernel,3743,26188808,6996.742719743521,0.7989884437429162,3651,141305,4566.394122228048
hipGetDevicePropertiesR0600,25955,3842718,148.05309188980928,0.11723661781639284,95,8934,75.71866960641195
hipDeviceGetAttribute,21940,3388592,154.44813126709207,0.10338178998294599,117,5697,56.882543815719224
hipSetDevice,31392,2274416,72.45208970438328,0.06938964538836546,47,4674,85.058038054208
hipGetDevice,25950,1707563,65.80204238921002,0.05209565490582791,43,5257,46.226876255206726
hipEventRecord,629,1631700,2594.1176470588234,0.04978116772841728,1132,27133,1872.9039291041079
hipEventQuery,11649,1256691,107.87973216585115,0.03834010262535542,59,5963,97.8298466720936
hipRuntimeGetVersion,10971,536410,48.89344635858171,0.01636521185340462,40,7799,76.7884436891593
hipGetLastError,5997,419027,69.87276971819243,0.012784000349166826,39,7761,112.45151692638635
hipDeviceSynchronize,4,418509,104627.25,0.012768196803856217,745,387323,163325.7001643878
hipEventDestroy,595,187649,315.3764705882353,0.005724941069479545,107,2643,293.719175520114
hipEventCreateWithFlags,629,173452,275.75834658187597,0.005291807994624891,84,23764,1104.3810352479757
hipMemset,2,32203,16101.5,0.0009824740726593257,12707,19496,3394.5
hipModuleGetFunction,12,31180,2598.3333333333335,0.0009512635961096102,707,5500,1367.1624100872418
hipDriverGetVersion,1,1149,1149.0,3.505458216580956e-05,1149,1149,0.0
