Name,Calls,TotalDurationNs,AverageNs,Percentage,MinNs,MaxNs,StdDev
hipModuleLoad,5,3431929249,686385849.8,83.62235796581452,109356768,1506935199,550136225.6320692
hipMemcpy,585,521868707,892083.2598290598,12.715848335342757,16665,216429969,9008282.790492788
hipSetDevice,10261,60878882,5933.03596140727,1.4833743045973211,48,60102589,593303.1199917916
hipMalloc,2577,31777758,12331.299185098953,0.7742965725768742,699,157875,21896.175925578507
hipLaunchKernel,2660,27594972,10374.04962406015,0.6723788456049924,3581,6407388,124842.45462837908
hipFree,291,12357089,42464.223367697596,0.30109272214003874,807,454610,54168.10550189921
hipDeviceGetAttribute,35960,5699766,158.50294771968854,0.1388804483403203,119,23185,152.4590748791351
hipGetDevicePropertiesR0600,19345,2988569,154.4879296975963,0.07281944602918483,96,8898,102.57095998167759
hipDeviceSynchronize,2,2853553,1426776.5,0.06952964735795575,13734,2839819,1413042.5
hipExtModuleLaunchKernel,338,2647812,7833.763313609467,0.06451656395734143,4371,48528,5372.277543935003
hipGetDevice,19340,1369359,70.80449844881076,0.03336578937781878,45,2268,40.28661778206567
hipRuntimeGetVersion,17981,846138,47.05733830154052,0.02061699108310445,39,971,17.873038896430295
hipEventRecord,192,701846,3655.4479166666665,0.017101173477272653,1382,52073,4888.778891438093
hipGetLastError,2678,186470,69.6303211351755,0.004543526383718125,39,4805,131.48049094390893
hipEventQuery,912,153773,168.6107456140351,0.0037468315686356372,60,5045,263.7949737466684
hipEventCreateWithFlags,192,87582,456.15625,0.0021340222434643686,85,26014,1897.3292431299153
hipMemset,2,65311,32655.5,0.0015913672528933044,29627,35684,3028.5
hipModuleGetFunction,26,50044,1924.7692307692307,0.0012193716648618536,364,4273,1299.2241562886766
hipEventDestroy,48,22016,458.6666666666667,0.0005364416628086998,103,2185,395.8238946243083
hipDriverGetVersion,1,1304,1304.0,3.177325255734668e-05,1304,1304,0.0
hipGetDeviceCount,2,733,366.5,1.7860271567895028e-05,49,684,317.5
