Name,Calls,TotalDurationNs,AverageNs,Percentage,MinNs,MaxNs,StdDev
hipModuleLoad,3,2791397040,930465680.0,79.93241486951045,107355374,1510618127,598084709.3997543
hipMemcpy,585,554639277,948101.3282051282,15.882246830816058,18601,229144835,9518984.909201227
hipSetDevice,9178,59618079,6495.759315755066,1.7071799375237744,47,58897021,614745.0871005872
hipMalloc,2561,32088888,12529.827411167513,0.918874051796392,711,333812,22551.330065489565
hipLaunchKernel,2300,26392224,11474.88,0.7557485258697023,3458,6710084,140592.64095010664
hipFree,291,12447071,42773.43986254295,0.3564252697933119,849,517303,55424.35186574393
hipDeviceGetAttribute,31856,4857340,152.47802611752888,0.13909125447889273,118,9872,101.71765393416098
hipExtModuleLaunchKernel,338,2834665,8386.582840236686,0.0811714046942175,3886,230241,15216.930711112742
hipGetDevicePropertiesR0600,17288,2606131,150.74797547431746,0.07462727133087887,96,6844,78.16239329238384
hipDeviceSynchronize,2,2354916,1177458.0,0.06743366135218373,13962,2340954,1163496.0
hipGetDevice,17282,1193674,69.07036222659414,0.03418118025479744,45,5542,53.290754830197386
hipRuntimeGetVersion,15929,753247,47.28777701048402,0.021569433097634202,39,1164,19.834659063897462
hipEventRecord,169,576616,3411.9289940828403,0.016511556282368788,1431,133354,10194.727668341344
hipGetLastError,2309,160202,69.38155045474231,0.004587427923519369,38,2074,86.61854381451056
hipEventQuery,663,128655,194.0497737556561,0.0036840709822622965,61,3793,285.34628048218303
hipEventCreateWithFlags,169,60811,359.8284023668639,0.0017413395554183866,87,3678,510.24222130318276
hipMemset,1,33330,33330.0,0.0009544136321075927,33330,33330,0.0
hipModuleGetFunction,15,30973,2064.866666666667,0.0008869202948475389,560,4455,1060.4997480223915
hipEventDestroy,26,21620,831.5384615384615,0.0006190945912441091,262,3369,728.9298916783758
hipDriverGetVersion,1,903,903.0,2.5857651058900578e-05,903,903,0.0
hipGetDeviceCount,2,895,447.5,2.562856887897676e-05,53,842,394.5
