Name,Calls,TotalDurationNs,AverageNs,Percentage,MinNs,MaxNs,StdDev
hipModuleLoad,5,4875050357,975010071.4,81.23871265883668,142594907,1643947376,642319673.2655452
hipMemcpy,587,576804573,982631.2998296423,9.611974756110193,16578,229422613,9565897.469924854
hipDeviceSynchronize,4,208378752,52094688.0,3.472460860558653,828,94024446,35971455.68528127
hipFree,1818,131566494,72368.80858085808,2.1924476300535907,908,6816749,281160.69492247683
hipLaunchKernel,4825,65316733,13537.146735751296,1.0884497421409827,3645,24584553,354073.9846762524
hipSetDevice,19330,60018616,3104.9465080186237,1.0001609711382633,48,58596225,421446.0071668758
hipMalloc,4091,50551887,12356.85333659252,0.8424057028371289,730,174533,20332.448078570345
hipExtModuleLaunchKernel,1521,10604113,6971.803418803419,0.17670883907319496,4033,118905,5303.506729203573
hipDeviceGetAttribute,55458,8579879,154.70949186771972,0.14297664099566695,118,10329,79.46962389941292
hipGetDevicePropertiesR0600,33822,5393916,159.47951037786058,0.08988518270395,97,9010,78.96972165773046
hipEventQuery,34305,2657879,77.47788952047806,0.044291371893813686,58,10221,101.19958669315268
hipGetDevice,33817,2388866,70.64097938906467,0.039808491060160045,44,6934,58.37415076119137
hipRuntimeGetVersion,27730,1460518,52.669239091236925,0.024338333647095665,40,6829,55.74915621850094
hipEventRecord,278,950368,3418.589928057554,0.015837102638600147,1270,29867,3689.194950907018
hipEventCreateWithFlags,278,664318,2389.63309352518,0.01107031418426291,83,258944,16585.302415629856
hipGetLastError,4861,312509,64.28903517794693,0.0052077059712514456,39,10584,163.84452122509737
hipEventDestroy,135,87847,650.7185185185185,0.0014638981483942087,178,2414,541.841806240897
hipModuleGetFunction,50,71306,1426.12,0.001188255960583713,299,4088,1092.707474853174
hipMemset,2,35031,17515.5,0.0005837628608421178,13116,21915,4399.5
hipDriverGetVersion,1,937,937.0,1.5614335891326665e-05,937,937,0.0
hipGetDeviceCount,2,730,365.0,1.2164850801140305e-05,52,678,313.0
