Name,Calls,TotalDurationNs,AverageNs,Percentage,MinNs,MaxNs,StdDev
"microllm::ops::hip::(anonymous namespace)::adamw_update_kernel(float*, float const*, float*, float*, hip_bfloat16*, long, float, float, float, float, float, float, float)",870,128901436,148162.57011494253,25.4884631583002,9060,9683703,580214.442862434
"microllm::ops::hip::(anonymous namespace)::causal_gqa_attention_backward_kernel(float const*, float const*, float const*, float const*, float*, float*, float*, long, long, long, long, long, long, float)",72,101483805,1409497.2916666667,20.067008601103726,1359898,1605939,34642.16339890737
"microllm::ops::hip::(anonymous namespace)::causal_gqa_attention_kernel(float const*, float const*, float const*, float*, long, long, long, long, long, long, float)",72,37646937,522874.125,7.44415730750547,505552,567413,12261.363708750503
"microllm::ops::hip::(anonymous namespace)::rms_norm_weight_gradient_kernel(float const*, float const*, float const*, float*, long, long)",147,36482923,248183.14965986394,7.213989755650224,238744,297037,8840.692731002277
"microllm::ops::hip::(anonymous namespace)::bias_gradient_kernel(float const*, float*, long, long)",216,30170883,139680.01388888888,5.965871782831696,120113,169587,18087.868092565976
"void microllm::ops::hip::(anonymous namespace)::cast_kernel<float, hip_bfloat16>(float const*, hip_bfloat16*, long)",672,24948031,37125.04613095238,4.933125562818643,8419,215090,59945.0649122154
"microllm::runtime::detail::(anonymous namespace)::strided_copy_kernel(std::byte*, std::byte const*, unsigned long, long, microllm::runtime::detail::(anonymous namespace)::Layout)",720,23430960,32543.0,4.633145907882715,24977,147456,7085.921693557037
"void microllm::ops::hip::(anonymous namespace)::fill_typed_kernel<float>(float*, long, float)",730,22957793,31449.031506849315,4.539583725633454,3888,1904618,152492.0094644184
"void microllm::ops::hip::(anonymous namespace)::add_typed_kernel<float>(float const*, float const*, float*, long)",507,19444405,38351.883629191325,3.8448601959528843,8460,4860434,370247.46095302526
"microllm::ops::hip::(anonymous namespace)::rms_norm_backward_kernel(float const*, float const*, float const*, float*, float*, long, long, float)",147,11283950,76761.56462585034,2.2312439083696596,72725,93333,3055.306293179659
"microllm::ops::hip::(anonymous namespace)::cross_entropy_backward_stats_kernel(float const*, int const*, float*, long, long)",3,8542384,2847461.3333333335,1.6891374264290826,2818101,2879481,25128.737073097982
"microllm::ops::hip::(anonymous namespace)::cross_entropy_rows_kernel(float const*, int const*, float*, long, long)",3,8323122,2774374.0,1.6457814206122412,2708451,2898964,88148.22160807707
"microllm::ops::hip::(anonymous namespace)::rms_norm_kernel(float const*, float const*, float*, long, long, float)",147,6650555,45241.87074829932,1.3150545979933783,43900,52399,1184.7884352724002
"microllm::ops::hip::(anonymous namespace)::rope_split_half_bias_kernel(float const*, float const*, float*, long, long, long, long, long, float)",144,4381777,30429.006944444445,0.8664353563321604,27302,45624,2975.4078886966813
"microllm::ops::hip::(anonymous namespace)::rope_split_half_backward_kernel(float const*, float*, long, long, long, long, long, float)",144,4218330,29293.958333333332,0.8341159891698373,26981,32554,1177.3281065557346
Cijk_Alik_Bljk_S_B_Bias_HA_S_SAV_UserArgs_MT16x32x256_MI16x16x1_SN_LDSB1_AFC1_AG0_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_DTVMXSA0_DTVMXSB0_DTVSM0_DPLB0_EPS0_ELFLR0_EMLLn1_FDSI0_GRPM1_GRVWA4_GRVWB4_GSUAMB_GLS0_ISA942_IU1_K1_LDSTI0_LBSPPA1024_LBSPPB2048_LBSPPM0_LPA8_LPB8_LPM0_LRVW4_LWPMn1_MIAV0_MIWT1_2_MO40_MGRIPM1_NTn1_NTA0_NTB0_NTC0_NTD4_NTM0_NEPBS16_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SGROB0_SIA3_SS1_SPO0_SRVW0_SSO0_SVW1_SK0_SKFTR0_SKXCCM0_SGRO0_TDMI0_TIN0_TLDS1_TLDSM1_ULSGRO0_USL1_USLMX0_UIOFGRO0_UPLRP0_USFGROn1_USI0_VSn1_VWA1_VWB2_WSGRA0_WSGRB0_WS64_WG16_4_4,144,3749937,26041.229166666668,0.741497798910842,22772,27944,800.2246274809863
"microllm::ops::hip::(anonymous namespace)::cross_entropy_backward_elements_kernel(float const*, int const*, float const*, float const*, float*, long, long)",3,3478445,1159481.6666666667,0.687814038244489,1152225,1168382,6697.680809222115
"microllm::ops::hip::(anonymous namespace)::swiglu_backward_kernel(float const*, float const*, float const*, float*, float*, long)",72,3288808,45677.88888888889,0.6503159634522843,44220,55607,1539.3728119987657
