Name,Calls,TotalDurationNs,AverageNs,Percentage,MinNs,MaxNs,StdDev
hipModuleLoad,4,3652263833,913065958.25,61.874534555775604,155488555,1580529228,656118436.4775356
hipMemcpy,488,892123949,1828122.8463114754,15.113846270271761,4754,267553709,13144155.888111962
hipDeviceSynchronize,5,599222964,119844592.8,10.151687744359153,784,233856118,101764592.5552645
hipFree,3228,514662818,159437.05638166048,8.719118818630497,870,273286144,4814767.358408931
hipMalloc,5158,75446611,14627.105661108957,1.2781727040790318,599,250140,21476.836295451336
hipLaunchKernel,5824,72693276,12481.675137362638,1.231527300189579,3647,13343005,235191.41444943706
hipSetDevice,23219,64588974,2781.729359576209,1.0942289183972795,48,62839750,412384.977285914
hipExtModuleLaunchKernel,1773,12420064,7005.112239142696,0.2104135172846218,4101,341933,9292.664184636657
hipDeviceGetAttribute,37624,6203297,164.8760631511801,0.10509265818043631,125,14237,111.7317584024461
hipGetDevicePropertiesR0600,25913,4127080,159.2667772932505,0.06991859453502147,95,10602,102.30222469175877
hipEventQuery,49361,3759911,76.17169425254755,0.06369823039455672,57,9619,64.4541319130613
hipGetDevice,25908,1913572,73.86027481858885,0.03241862643359715,43,1997,40.79998158776876
hipRuntimeGetVersion,18813,976616,51.91176314250784,0.01654526157002397,40,1195,21.385961610382967
hipEventRecord,277,923979,3335.664259927798,0.01565351605975038,1160,66399,5584.860023253615
hipEventCreateWithFlags,277,713035,2574.1335740072204,0.012079825216443353,94,595891,35717.82336735109
hipGetLastError,5849,369756,63.21696016413062,0.006264191593303595,40,1791,60.61491995124748
hipEventDestroy,154,169223,1098.8506493506493,0.002866877870794833,203,2715,469.55051430766355
hipModuleGetFunction,37,59041,1595.7027027027027,0.0010002383622178884,361,4499,1044.9255208132058
hipMemset,2,53287,26643.5,0.0009027574330974174,12872,40415,13771.5
hipDriverGetVersion,1,991,991.0,1.678894695140542e-05,991,991,0.0
hipGetDeviceCount,2,744,372.0,1.260441627835079e-05,58,686,314.0
