Name,Calls,TotalDurationNs,AverageNs,Percentage,MinNs,MaxNs,StdDev
"microllm::ops::hip::(anonymous namespace)::adamw_update_kernel(float*, float const*, float*, float*, hip_bfloat16*, long, float, float, float, float, float, float, float)",1017,450797967,443262.50442477874,32.93568992530628,10384,20003827,1472096.6769309088
"microllm::runtime::detail::(anonymous namespace)::strided_copy_kernel(std::byte*, std::byte const*, unsigned long, long, microllm::runtime::detail::(anonymous namespace)::Layout)",1037,314872532,303637.92864030856,23.004859913106213,26901,45893911,1567590.5634771215
"microllm::ops::hip::(anonymous namespace)::causal_gqa_attention_backward_kernel(float const*, float const*, float const*, float const*, float*, float*, float*, long, long, long, long, long, long, float)",84,183577440,2185445.714285714,13.412326771033369,2129413,2420115,44439.98525555117
"void microllm::ops::hip::(anonymous namespace)::cast_kernel<float, hip_bfloat16>(float const*, hip_bfloat16*, long)",788,82203553,104319.22969543147,6.005862782354741,14272,10412249,410070.7446884833
"void microllm::ops::hip::(anonymous namespace)::fill_typed_kernel<float>(float*, long, float)",852,64438165,75631.64906103286,4.7079081476774345,3969,3369679,297698.09476194123
"microllm::ops::hip::(anonymous namespace)::causal_gqa_attention_kernel(float const*, float const*, float const*, float*, long, long, long, long, long, long, float)",84,58024831,690771.7976190476,4.239344410761948,671691,790241,13290.952510546917
"microllm::ops::hip::(anonymous namespace)::rms_norm_weight_gradient_kernel(float const*, float const*, float const*, float*, long, long)",171,42840505,250529.26900584795,3.1299644013779084,240950,344745,12547.733393236915
"microllm::ops::hip::(anonymous namespace)::bias_gradient_kernel(float const*, float*, long, long)",252,41592902,165051.1984126984,3.038813445593137,152427,203704,5599.940016713673
Cijk_Alik_Bljk_S_B_Bias_HA_S_SAV_UserArgs_MT32x32x128_MI16x16x1_SN_LDSB1_AFC1_AG0_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_DTVMXSA0_DTVMXSB0_DTVSM0_DPLB0_EPS0_ELFLR0_EMLLn1_FDSI0_GRPM1_GRVWA4_GRVWB4_GSUAMB_GLS0_ISA942_IU1_K1_LDSTI0_LBSPPA1024_LBSPPB1024_LBSPPM0_LPA8_LPB8_LPM0_LRVW4_LWPMn1_MIAV0_MIWT2_2_MO40_MGRIPM1_NTn1_NTA0_NTB0_NTC0_NTD4_NTM0_NEPBS16_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SGROB0_SIA3_SS1_SPO0_SRVW0_SSO0_SVW2_SK0_SKFTR0_SKXCCM0_SGRO0_TDMI0_TIN0_TLDS1_TLDSM1_ULSGRO0_USL1_USLMX0_UIOFGRO0_UPLRP0_USFGROn1_USI0_VSn1_VWA2_VWB2_WSGRA0_WSGRB0_WS64_WG16_4_4,339,15554852,45884.5191740413,1.1364509598731845,12589,941104,84229.3008759015
"microllm::ops::hip::(anonymous namespace)::rms_norm_backward_kernel(float const*, float const*, float const*, float*, float*, long, long, float)",171,15014216,87802.432748538,1.096951625444159,85315,125647,5012.946638441627
"microllm::ops::hip::(anonymous namespace)::rms_norm_kernel(float const*, float const*, float*, long, long, float)",171,9036708,52846.245614035084,0.6602297135770682,50796,70801,1525.6477019397303
"microllm::ops::hip::(anonymous namespace)::cross_entropy_backward_stats_kernel(float const*, int const*, float*, long, long)",3,8476357,2825452.3333333335,0.619289984171999,2809522,2839752,12395.093930888766
