"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipModuleLoad",5,5107841500,1021568300.000000,81.29,161850681,1677717684,1194657855.878112
"hipMemcpy",297,368857023,1241942.838384,5.87,15669,216447231,12652664.341384
"hipDeviceSynchronize",6,293247458,48874576.333333,4.67,712,141559184,63147542.456581
"hipFree",2438,260373649,106798.051272,4.14,1296,8650987,320280.654049
"hipSetDevice",21346,74758803,3502.239436,1.19,49,73179393,500875.882209
"hipLaunchKernel",5547,70338398,12680.439517,1.12,3201,23230097,312102.739647
"hipMalloc",4286,68922748,16080.902473,1.10,1022,169962,15172.116370
"hipExtModuleLaunchKernel",1953,13767086,7049.199181,0.2191,4203,44160,4406.194060
"hipDeviceGetAttribute",55458,8639074,155.776876,0.1375,117,9616,102.743005
"hipGetDevicePropertiesR0600",35550,5645115,158.793671,0.0898,95,123509,669.454495
"hipEventQuery",62857,4838441,76.975373,0.0770,58,10464,67.180320
"hipGetDevice",35545,2451832,68.978253,0.0390,44,1736,36.118457
"hipRuntimeGetVersion",27730,1360986,49.079913,0.0217,40,3265,28.940133
"hipEventRecord",276,1280710,4640.253623,0.0204,1028,414270,24874.514268
"hipEventCreateWithFlags",276,595832,2158.811594,9.482e-03,87,450202,27108.177584
"hipGetLastError",5593,393159,70.294833,6.257e-03,39,11188,163.608880
"hipModuleGetFunction",64,138190,2159.218750,2.199e-03,368,19820,2574.271649
"hipEventDestroy",156,133716,857.153846,2.128e-03,145,4120,627.277272
"hipMemset",2,31782,15891.000000,5.058e-04,10175,21607,8083.644723
"hipDriverGetVersion",1,1245,1245.000000,1.981e-05,1245,1245,0.00000000e+00
"hipGetDeviceCount",2,568,284.000000,9.039e-06,60,508,316.783838
