"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipModuleLoad",5,3930671532,786134306.400000,86.70,190073674,1603099285,598861760.997483
"hipMemcpy",292,378460038,1296096.020548,8.35,15956,209336136,12779176.088177
"hipGetDeviceCount",3,58792381,19597460.333333,1.30,74,58791851,33943338.003722
"hipFree",892,53052738,59476.163677,1.17,1020,1282391,119469.929047
"hipLaunchKernel",1976,42780047,21649.821356,0.9436,3362,28623770,643917.598984
"hipDeviceSynchronize",6,33285769,5547628.166667,0.7342,486,20856219,8840388.365388
"hipMalloc",1597,18725195,11725.231684,0.4130,996,137659,13464.831769
"hipDeviceGetAttribute",35960,5769493,160.441963,0.1273,120,7708,67.094156
"hipExtModuleLaunchKernel",651,3465601,5323.503840,0.0764,3632,35231,3441.907398
"hipGetDevicePropertiesR0600",20590,3345534,162.483439,0.0738,99,7654,99.019712
"hipEventQuery",26348,2044421,77.593024,0.0451,61,1760,22.036258
"hipGetDevice",20588,1441049,69.994609,0.0318,45,9852,80.953213
"hipRuntimeGetVersion",17981,908359,50.517713,0.0200,40,761,17.428445
"hipSetDevice",8184,626670,76.572581,0.0138,50,6268,93.844162
"hipEventRecord",109,248048,2275.669725,5.471e-03,977,23671,2566.944877
"hipGetLastError",1990,143770,72.246231,3.171e-03,40,1232,75.076958
"hipModuleGetFunction",21,48509,2309.952381,1.070e-03,521,4800,1428.272190
"hipEventCreateWithFlags",109,34505,316.559633,7.610e-04,114,2653,376.740392
"hipMemset",2,29698,14849.000000,6.550e-04,11220,18478,5132.181018
"hipEventDestroy",64,29093,454.578125,6.417e-04,182,1684,245.767913
"hipDriverGetVersion",1,822,822.000000,1.813e-05,822,822,0.00000000e+00
