"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipModuleLoad",4,2734244720,683561180.000000,70.12,175295375,1626005318,647223587.339699
"hipMemcpy",292,377507142,1292832.678082,9.68,15387,206216451,12593235.758616
"hipDeviceSynchronize",6,361356022,60226003.666667,9.27,500,349066378,141579869.133731
"hipFree",916,271561399,296464.409389,6.96,1059,5242067,1067301.924640
"hipGetDeviceCount",3,58657694,19552564.666667,1.50,56,58656877,33865327.880022
"hipLaunchKernel",2192,41838972,19087.122263,1.07,3276,22856462,488212.355513
"hipMalloc",2268,31974259,14097.997795,0.8200,916,157617,13662.656779
"hipEventQuery",170466,12371033,72.571850,0.3173,60,121530,303.245048
"hipDeviceGetAttribute",18126,2866840,158.161757,0.0735,119,2547,41.772980
"hipExtModuleLaunchKernel",507,2759197,5442.203156,0.0708,3523,35505,3370.952132
"hipGetDevicePropertiesR0600",11097,1782856,160.661080,0.0457,97,39079,376.482819
"hipGetDevice",11095,769497,69.355295,0.0197,45,1130,36.362141
"hipSetDevice",8400,641369,76.353452,0.0164,50,2840,80.581214
"hipRuntimeGetVersion",9064,459025,50.642652,0.0118,40,980,21.231134
"hipEventRecord",112,322326,2877.910714,8.266e-03,1310,18722,2684.055891
"hipGetLastError",2200,161620,73.463636,4.145e-03,40,1346,88.784498
"hipEventCreateWithFlags",112,51047,455.776786,1.309e-03,93,3793,424.381006
"hipModuleGetFunction",13,31025,2386.538462,7.956e-04,501,4614,1417.575078
"hipMemset",2,30167,15083.500000,7.736e-04,12640,17527,3455.630840
"hipEventDestroy",27,17342,642.296296,4.447e-04,238,1808,291.072924
"hipDriverGetVersion",1,683,683.000000,1.752e-05,683,683,0.00000000e+00
