"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipModuleLoad",5,3888196699,777639339.800000,86.86,177327015,1608658008,598626547.348052
"hipMemcpy",489,342979775,701390.132924,7.66,4387,214795573,9727917.928194
"hipFree",1429,78457658,54903.889433,1.75,1006,1017700,153488.602700
"hipGetDeviceCount",3,63107119,21035706.333333,1.41,65,63106379,36434271.284910
"hipLaunchKernel",2106,42761061,20304.397436,0.9553,3885,24172241,526792.271650
"hipDeviceSynchronize",7,22400477,3200068.142857,0.5004,412,11415327,5384050.036729
"hipMalloc",2229,19041370,8542.561687,0.4254,949,134320,13450.421675
"hipDeviceGetAttribute",35960,5606213,155.901363,0.1252,117,8190,105.548608
"hipExtModuleLaunchKernel",772,5407018,7003.909326,0.1208,3950,57291,4793.100109
"hipGetDevicePropertiesR0600",21078,3532763,167.604279,0.0789,96,10632,157.562043
"hipGetDevice",21076,1474079,69.941118,0.0329,43,2482,39.181839
"hipEventQuery",15010,1250529,83.313058,0.0279,59,85681,699.849368
"hipRuntimeGetVersion",17981,884801,49.207552,0.0198,40,6062,50.624062
"hipSetDevice",9330,725865,77.799035,0.0162,50,6104,107.401159
"hipEventRecord",98,250313,2554.214286,5.592e-03,1084,12124,1575.196465
"hipGetLastError",2130,161687,75.909390,3.612e-03,40,1388,79.813096
"hipModuleGetFunction",35,70943,2026.942857,1.585e-03,448,4469,1410.024926
"hipEventCreateWithFlags",98,58934,601.367347,1.317e-03,123,11372,1301.019667
"hipMemset",2,30586,15293.000000,6.833e-04,12920,17666,3355.928784
"hipEventDestroy",46,23424,509.217391,5.233e-04,206,1755,234.518695
"hipDriverGetVersion",1,948,948.000000,2.118e-05,948,948,0.00000000e+00
