"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipFree",248513,7937578169,31940.293542,39.51,934,1022431,130759.571494
"hipMemcpy",1319,4767234922,3614279.698256,23.73,17164,206712212,8481844.020524
"hipModuleLoad",4,2668312233,667078058.250000,13.28,188341508,1560378352,613516810.793487
"hipLaunchKernel",322630,2567456369,7957.897186,12.78,3522,23604206,44168.434483
"hipExtModuleLaunchKernel",173394,1213619796,6999.202948,6.04,3574,25863030,67382.238390
"hipMalloc",249193,479694456,1924.991697,2.39,854,137475,2488.215098
"hipSetDevice",1491642,111954612,75.054612,0.5573,48,37413,86.067268
"hipGetDevicePropertiesR0600",702649,97070677,138.149598,0.4832,95,13578,88.614845
"hipGetDeviceCount",3,59684451,19894817.000000,0.2971,54,59683748,34458225.036710
"hipGetDevice",702647,43775681,62.301100,0.2179,42,8980,48.840209
"hipEventRecord",15540,40763887,2623.158752,0.2029,967,35443,1975.069757
"hipEventQuery",263643,33969131,128.845185,0.1691,57,11337,141.750606
"hipDeviceSynchronize",7,31076986,4439569.428571,0.1547,345,18876211,7698223.397780
"hipGetLastError",322639,22163769,68.695257,0.1103,38,10867,65.763885
"hipEventDestroy",15497,6641261,428.551397,0.0331,110,10659,419.706307
"hipEventCreateWithFlags",15540,4247254,273.311068,0.0211,95,33385,883.177956
"hipDeviceGetAttribute",18126,2921203,161.160929,0.0145,120,6763,77.779505
"hipRuntimeGetVersion",9064,463541,51.140887,2.307e-03,41,1453,28.478690
"hipModuleGetFunction",14,31525,2251.785714,1.569e-04,481,4611,1382.200819
"hipMemset",2,31371,15685.500000,1.562e-04,13668,17703,2853.175862
"hipDriverGetVersion",1,1227,1227.000000,6.108e-06,1227,1227,0.00000000e+00
