"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipModuleLoad",4,2666879211,666719802.750000,77.34,204216608,1558972931,611012964.474792
"hipMemcpy",315,446296761,1416815.114286,12.94,16968,207159444,11868528.395889
"hipFree",2593,145844012,56245.280370,4.23,918,932216,131208.263715
"hipGetDeviceCount",3,61694197,20564732.333333,1.79,53,61693341,35618419.929616
"hipLaunchKernel",5690,58362317,10256.997715,1.69,3429,22834730,302801.958640
"hipMalloc",4128,31977735,7746.544331,0.9273,861,156966,11413.058357
"hipDeviceSynchronize",7,12621525,1803075.000000,0.3660,425,12005008,4503109.616008
"hipExtModuleLaunchKernel",2028,10284525,5071.264793,0.2982,3375,189366,5006.943653
"hipEventQuery",61739,4596728,74.454202,0.1333,59,18535,78.655804
"hipDeviceGetAttribute",18126,2885387,159.184983,0.0837,119,13283,136.255426
"hipGetDevicePropertiesR0600",17181,2600906,151.382690,0.0754,95,13457,154.944076
"hipSetDevice",23505,1664950,70.833865,0.0483,48,93321,609.464662
"hipGetDevice",17179,1081698,62.966296,0.0314,43,2490,36.995986
"hipEventRecord",322,630975,1959.549689,0.0183,1020,18578,1756.438944
"hipRuntimeGetVersion",9064,439630,48.502868,0.0127,40,2807,34.237570
"hipGetLastError",5709,315671,55.293572,9.154e-03,39,1694,47.581954
"hipEventDestroy",223,102513,459.699552,2.973e-03,135,2554,307.297057
"hipEventCreateWithFlags",322,95784,297.465839,2.778e-03,99,7720,465.191985
"hipModuleGetFunction",29,53031,1828.655172,1.538e-03,443,3559,948.919772
"hipMemset",2,29761,14880.500000,8.630e-04,11935,17826,4165.566048
"hipDriverGetVersion",1,1112,1112.000000,3.225e-05,1112,1112,0.00000000e+00
