"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipModuleLoad",4,2693971515,673492878.750000,77.52,172747417,1586846695,629647741.547704
"hipMemcpy",315,442658511,1405265.114286,12.74,17178,215832016,12292388.411968
"hipFree",2589,145575567,56228.492468,4.19,933,923882,130800.401667
"hipGetDeviceCount",3,63776354,21258784.666667,1.84,56,63775634,36820671.612797
"hipLaunchKernel",5678,60245144,10610.275449,1.73,3390,24226859,321578.809349
"hipMalloc",4128,32078544,7770.965116,0.9231,910,142621,11520.047726
"hipDeviceSynchronize",7,12367710,1766815.714286,0.3559,473,11770589,4415168.308480
"hipExtModuleLaunchKernel",2028,10213060,5036.025641,0.2939,3477,74620,3200.930714
"hipEventQuery",62590,4669660,74.607126,0.1344,59,17431,75.183130
"hipDeviceGetAttribute",18126,2818742,155.508220,0.0811,119,15150,151.121423
"hipGetDevicePropertiesR0600",17181,2405002,139.980327,0.0692,94,3002,67.910349
"hipSetDevice",23469,1575940,67.149857,0.0453,48,23322,165.755060
"hipGetDevice",17179,1076326,62.653589,0.0310,43,11221,91.802744
"hipEventRecord",322,715919,2223.350932,0.0206,1075,24108,2366.056721
"hipRuntimeGetVersion",9064,449884,49.634157,0.0129,40,10058,107.839834
"hipGetLastError",5697,319318,56.050202,9.188e-03,39,1624,52.775138
"hipEventDestroy",222,112576,507.099099,3.239e-03,126,2376,340.141532
"hipEventCreateWithFlags",322,85239,264.717391,2.453e-03,93,2788,280.734436
"hipMemset",2,56551,28275.500000,1.627e-03,17535,39016,15189.360767
"hipModuleGetFunction",29,54374,1874.965517,1.565e-03,428,3682,973.649595
"hipDriverGetVersion",1,964,964.000000,2.774e-05,964,964,0.00000000e+00
