"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipModuleLoad",5,3751992954,750398590.800000,70.11,149330680,1544471242,584273504.888518
"hipFree",1413,1017306032,719961.806086,19.01,1106,12446525,1865007.839690
"hipMemcpy",341,416188915,1220495.351906,7.78,15838,187750419,10215348.693545
"hipGetDeviceCount",3,65242294,21747431.333333,1.22,48,65241775,37667206.536858
"hipMalloc",1605,41945746,26134.421184,0.7838,1047,169707,15038.169270
"hipLaunchKernel",2899,33533296,11567.194205,0.6266,3391,7640901,142268.485103
"hipExtModuleLaunchKernel",1012,7963017,7868.593874,0.1488,4190,107726,5817.804943
"hipDeviceGetAttribute",35960,5677186,157.875028,0.1061,117,10118,109.735493
"hipGetDevicePropertiesR0600",22034,3559229,161.533494,0.0665,97,9543,91.315922
"hipDeviceSynchronize",6,2922914,487152.333333,0.0546,662,2860543,1162788.293369
"hipGetDevice",22032,1561046,70.853577,0.0292,44,9095,89.351573
"hipSetDevice",12085,1049495,86.842780,0.0196,47,5527,119.842770
"hipRuntimeGetVersion",17981,887738,49.370891,0.0166,40,8388,66.223397
"hipEventQuery",4336,540104,124.562731,0.0101,59,2716,170.869747
"hipEventRecord",157,395403,2518.490446,7.389e-03,1058,8795,909.475663
"hipGetLastError",2914,231216,79.346603,4.321e-03,39,1627,91.737210
"hipEventDestroy",143,176414,1233.664336,3.297e-03,481,3981,475.563164
"hipEventCreateWithFlags",157,54252,345.554140,1.014e-03,129,2335,271.137618
"hipModuleGetFunction",22,51296,2331.636364,9.586e-04,705,5005,1337.060690
"hipMemset",2,29088,14544.000000,5.436e-04,11434,17654,4398.204179
"hipDriverGetVersion",1,951,951.000000,1.777e-05,951,951,0.00000000e+00
