"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipModuleLoad",5,3944414104,788882820.800000,69.88,254112635,1493490633,515580938.534216
"hipFree",1210,983462984,812779.325620,17.42,1329,43125360,3191060.222100
"hipMemcpy",292,524671133,1796818.948630,9.29,17291,356674858,20964732.025642
"hipGetDeviceCount",3,92362480,30787493.333333,1.64,86,92361052,53324266.010443
"hipMalloc",1378,34907500,25332.002903,0.6184,966,155293,15646.141747
"hipLaunchKernel",2486,26776554,10770.938858,0.4744,3482,10031040,201475.789697
"hipDeviceGetAttribute",35960,17743413,493.420829,0.3143,121,10761976,56751.239069
"hipRuntimeGetVersion",17981,7861821,437.229353,0.1393,41,6769944,50486.390332
"hipExtModuleLaunchKernel",868,4757388,5480.861751,0.0843,3683,57025,4078.283002
"hipGetDevicePropertiesR0600",21458,3876186,180.640600,0.0687,96,8624,108.800132
"hipGetDevice",21456,1854518,86.433538,0.0329,43,2175,53.275062
"hipSetDevice",10365,832372,80.306030,0.0147,48,7373,105.249789
"hipEventQuery",4420,443338,100.302715,7.854e-03,60,2559,120.420072
"hipEventRecord",134,277920,2074.029851,4.924e-03,934,17700,1774.297345
"hipGetLastError",2500,199166,79.666400,3.528e-03,39,1877,98.936093
"hipDeviceSynchronize",6,103819,17303.166667,1.839e-03,1506,54918,19787.323583
"hipEventDestroy",123,70775,575.406504,1.254e-03,136,2959,363.417653
"hipModuleGetFunction",21,44889,2137.571429,7.952e-04,484,3750,1076.831908
"hipEventCreateWithFlags",134,43948,327.970149,7.786e-04,103,2568,336.372510
"hipMemset",2,33002,16501.000000,5.847e-04,14169,18833,3297.946027
"hipDriverGetVersion",1,1145,1145.000000,2.028e-05,1145,1145,0.00000000e+00
