"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipModuleLoad",5,3672936311,734587262.200000,47.44,137553214,1479485223,567633766.645439
"hipMemcpy",341,2576401787,7555430.460411,33.28,17414,2046609309,111562035.612732
"hipFree",1516,1311770087,865283.698549,16.94,1123,81746013,4081599.100195
"hipGetDeviceCount",3,76033429,25344476.333333,0.9820,51,76032589,43897193.240772
"hipMalloc",1614,46017282,28511.327138,0.5944,1436,258537,18619.421711
"hipLaunchKernel",2895,34485609,11912.127461,0.4454,3882,8394909,156342.264137
"hipExtModuleLaunchKernel",1012,7826985,7734.174901,0.1011,4506,172524,7002.942660
"hipDeviceGetAttribute",35960,5629902,156.560122,0.0727,120,8267,71.270577
"hipGetDevicePropertiesR0600",22034,3390236,153.863847,0.0438,96,8033,95.776668
"hipDeviceSynchronize",6,3061846,510307.666667,0.0395,614,2987989,1213889.645516
"hipGetDevice",22032,1509015,68.491966,0.0195,44,7028,59.238921
"hipSetDevice",12073,1025163,84.913692,0.0132,48,5720,106.099221
"hipRuntimeGetVersion",17981,870023,48.385685,0.0112,40,11670,99.355407
"hipEventQuery",4462,559286,125.344240,7.224e-03,58,2466,164.161428
"hipEventRecord",150,388261,2588.406667,5.015e-03,1010,17843,1446.844788
"hipGetLastError",2910,238100,81.821306,3.075e-03,39,1360,91.331319
"hipEventDestroy",142,174937,1231.950704,2.259e-03,383,2783,437.584072
"hipEventCreateWithFlags",150,58337,388.913333,7.535e-04,110,2811,373.761075
"hipModuleGetFunction",22,43951,1997.772727,5.677e-04,680,4153,1114.680092
"hipMemset",2,29597,14798.500000,3.823e-04,11240,18357,5032.478962
"hipDriverGetVersion",1,826,826.000000,1.067e-05,826,826,0.00000000e+00
