"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipModuleLoad",5,3732705871,746541174.200000,48.10,141788264,1498082390,574357939.255852
"hipMemcpy",292,2436868306,8345439.404110,31.40,16240,2148876094,126201212.916452
"hipFree",1331,1425038402,1070652.443276,18.36,1258,166564576,7651556.016301
"hipGetDeviceCount",3,76086003,25362001.000000,0.9805,49,76085351,43927709.665923
"hipMalloc",1391,38198764,27461.368799,0.4922,1219,301709,20814.883238
"hipLaunchKernel",2482,31021032,12498.401289,0.3997,3381,8731078,175541.727467
"hipExtModuleLaunchKernel",868,6255201,7206.452765,0.0806,4304,46424,3724.747350
"hipDeviceGetAttribute",35960,5756450,160.079255,0.0742,120,7751,77.361283
"hipGetDevicePropertiesR0600",21458,3525167,164.282179,0.0454,96,8929,108.789282
"hipGetDevice",21456,1502792,70.040641,0.0194,44,8029,79.116974
"hipRuntimeGetVersion",17981,876322,48.735999,0.0113,40,1440,21.140075
"hipSetDevice",10353,850281,82.128948,0.0110,48,2616,85.018156
"hipEventQuery",4407,505337,114.666894,6.512e-03,61,4491,178.074897
"hipEventRecord",127,386100,3040.157480,4.975e-03,1279,68757,5951.425365
"hipGetLastError",2496,205179,82.203125,2.644e-03,39,15519,319.800783
"hipEventDestroy",122,161067,1320.221311,2.076e-03,178,9463,939.865064
"hipDeviceSynchronize",6,136154,22692.333333,1.755e-03,394,52990,23444.493073
"hipModuleGetFunction",21,54373,2589.190476,7.007e-04,577,5625,1331.214544
"hipEventCreateWithFlags",127,46524,366.330709,5.995e-04,93,3264,370.813157
"hipMemset",2,29553,14776.500000,3.808e-04,11280,18273,4944.797721
"hipDriverGetVersion",1,1181,1181.000000,1.522e-05,1181,1181,0.00000000e+00
