"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipModuleLoad",5,3636376564,727275312.800000,69.47,138423180,1463726663,557280816.394055
"hipFree",1467,972096804,662642.674847,18.57,1128,11969558,1741851.730059
"hipMemcpy",341,478629764,1403606.346041,9.14,17150,215250082,11714327.047553
"hipGetDeviceCount",3,58097742,19365914.000000,1.11,53,58096803,33541933.787741
"hipMalloc",1512,40972977,27098.529762,0.7828,1153,151584,16128.787840
"hipLaunchKernel",2675,25617784,9576.741682,0.4894,3592,7539675,146085.400439
"hipExtModuleLaunchKernel",1012,6038442,5966.839921,0.1154,3754,61384,4214.884330
"hipDeviceGetAttribute",35960,5537521,153.991129,0.1058,119,13577,96.885548
"hipGetDevicePropertiesR0600",22034,3391093,153.902741,0.0648,96,3117,69.760690
"hipDeviceSynchronize",6,3045034,507505.666667,0.0582,401,2974949,1208875.863965
"hipGetDevice",22032,1555013,70.579748,0.0297,44,1266,37.848720
"hipSetDevice",11413,962413,84.326032,0.0184,47,13199,150.377920
"hipRuntimeGetVersion",17981,892737,49.648907,0.0171,40,2708,28.053719
"hipEventQuery",3377,401586,118.917975,7.672e-03,60,2295,129.586108
"hipEventRecord",139,262800,1890.647482,5.021e-03,1352,4444,412.534546
"hipGetLastError",2690,213576,79.396283,4.080e-03,39,1475,99.802847
"hipEventDestroy",135,92462,684.903704,1.766e-03,218,2001,392.806604
"hipEventCreateWithFlags",139,54152,389.582734,1.035e-03,125,2451,345.883617
"hipModuleGetFunction",22,44126,2005.727273,8.430e-04,453,3690,1149.806120
"hipMemset",2,29957,14978.500000,5.723e-04,11953,18004,4278.703133
"hipDriverGetVersion",1,1039,1039.000000,1.985e-05,1039,1039,0.00000000e+00
