"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipModuleLoad",5,3726250179,745250035.800000,73.99,145663216,1527470574,579630663.536176
"hipFree",1157,873132845,754652.415730,17.34,1293,56166287,3440875.044268
"hipMemcpy",292,296561654,1015622.102740,5.89,15764,198894787,11626745.675449
"hipGetDeviceCount",3,63647399,21215799.666667,1.26,47,63646821,36746342.383983
"hipMalloc",1269,31190008,24578.414500,0.6193,1104,157239,17472.299939
"hipLaunchKernel",2294,25695975,11201.384045,0.5102,3583,7571404,158287.186363
"hipExtModuleLaunchKernel",868,6306913,7266.028802,0.1252,3963,80749,4861.720666
"hipDeviceGetAttribute",35960,5708647,158.749917,0.1133,118,105679,562.914009
"hipGetDevicePropertiesR0600",21458,3402060,158.545065,0.0676,96,2824,68.998023
"hipGetDevice",21456,1452374,67.690809,0.0288,43,1644,36.438084
"hipRuntimeGetVersion",17981,871751,48.481786,0.0173,40,7354,59.917575
"hipSetDevice",9789,828791,84.665543,0.0165,48,5771,95.693089
"hipEventQuery",2882,410854,142.558640,8.158e-03,59,9718,258.212690
"hipEventRecord",125,307545,2460.360000,6.107e-03,1071,17202,1590.297154
"hipGetLastError",2308,185794,80.500000,3.689e-03,39,5472,138.974635
"hipEventDestroy",117,127379,1088.709402,2.529e-03,361,2053,364.423140
"hipDeviceSynchronize",6,94145,15690.833333,1.869e-03,322,50722,18535.718960
"hipEventCreateWithFlags",125,58272,466.176000,1.157e-03,105,8749,804.313884
"hipModuleGetFunction",21,44114,2100.666667,8.759e-04,547,3872,1133.632495
"hipMemset",2,32843,16421.500000,6.521e-04,14623,18220,2543.463092
"hipDriverGetVersion",1,881,881.000000,1.749e-05,881,881,0.00000000e+00
