"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipModuleLoad",5,3720254621,744050924.200000,79.60,139759526,1518743580,578505167.780962
"hipMemcpy",582,510437422,877040.243986,10.92,3636,221360959,9255930.347631
"hipFree",5640,231733500,41087.500000,4.96,945,1560205,93150.953645
"hipGetDeviceCount",3,61513473,20504491.000000,1.32,55,61512487,35513966.296992
"hipLaunchKernel",7701,53203079,6908.593559,1.14,3263,7648616,87451.128050
"hipMalloc",6602,46087710,6980.870948,0.9861,799,143314,11769.045712
"hipExtModuleLaunchKernel",3658,18478360,5051.492619,0.3954,3296,360516,7469.082259
"hipDeviceSynchronize",7,12278858,1754122.571429,0.2627,777,9438130,3540898.113134
"hipDeviceGetAttribute",35960,5600033,155.729505,0.1198,119,6314,64.946961
"hipGetDevicePropertiesR0600",32622,4973161,152.448072,0.1064,94,16749,122.938541
"hipSetDevice",34790,2431963,69.904082,0.0520,48,16741,100.090712
"hipEventQuery",26592,2189621,82.341343,0.0469,58,21266,138.190288
"hipGetDevice",32620,2057653,63.079491,0.0440,42,6797,47.903822
"hipRuntimeGetVersion",17981,896540,49.860408,0.0192,40,8554,84.448007
"hipEventRecord",362,631268,1743.834254,0.0135,916,26370,1398.361511
"hipGetLastError",7726,481055,62.264432,0.0103,39,1515,52.903420
"hipEventDestroy",300,91423,304.743333,1.956e-03,112,2516,231.570393
"hipEventCreateWithFlags",362,77000,212.707182,1.648e-03,101,2527,193.841748
"hipModuleGetFunction",36,63239,1756.638889,1.353e-03,408,4401,1096.225685
"hipMemset",2,25700,12850.000000,5.499e-04,9017,16683,5420.680585
"hipDriverGetVersion",1,971,971.000000,2.078e-05,971,971,0.00000000e+00
