
ROCPROFV3 HIP_API SUMMARY:

|                   NAME                   |    DOMAIN    |      CALLS      | DURATION (nsec) | AVERAGE (nsec)  | PERCENT (INC) |   MIN (nsec)    |   MAX (nsec)    |     STDDEV      |
|------------------------------------------|--------------|-----------------|-----------------|-----------------|---------------|-----------------|-----------------|-----------------|
| hipMemcpy                                | HIP_API      |             421 |       190133486 |       4.516e+05 |     68.191757 |            3230 |       186810123 |       9.104e+06 |
| hipGetDeviceCount                        | HIP_API      |               1 |        61478208 |       6.148e+07 |     22.049283 |        61478208 |        61478208 |       0.000e+00 |
| hipLaunchKernel                          | HIP_API      |            1266 |        15772132 |       1.246e+04 |      5.656707 |            3043 |         9083535 |       2.554e+05 |
| hipFree                                  | HIP_API      |            1361 |         9277910 |       6.817e+03 |      3.327541 |             844 |           55207 |       8.270e+03 |
| hipMalloc                                | HIP_API      |            1361 |         1821372 |       1.338e+03 |      0.653239 |             713 |           43375 |       1.484e+03 |
| hipSetDevice                             | HIP_API      |            4411 |          270063 |       6.122e+01 |      0.096859 |              50 |            1403 |       2.576e+01 |
| hipGetLastError                          | HIP_API      |            1266 |           66925 |       5.286e+01 |      0.024003 |              39 |            1187 |       3.717e+01 |
| hipDeviceSynchronize                     | HIP_API      |               2 |            1707 |       8.535e+02 |      0.000612 |             482 |            1225 |       5.254e+02 |


ROCPROFV3 KERNEL_DISPATCH SUMMARY:

|                                                                                                              NAME                                                                                                               |     DOMAIN      |      CALLS      | DURATION (nsec) | AVERAGE (nsec)  | PERCENT (INC) |   MIN (nsec)    |   MAX (nsec)    |     STDDEV      |
|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----------------|-----------------|-----------------|---------------|-----------------|-----------------|-----------------|
| void microllm::ops::hip::(anonymous namespace)::matmul_typed_kernel<float>(float const*, float const*, float*, long, long, long, long)                                                                                          | KERNEL_DISPATCH |             480 |         5426660 |       1.131e+04 |     61.902799 |            7578 |           46426 |       4.680e+03 |
| __amd_rocclr_copyBuffer                                                                                                                                                                                                         | KERNEL_DISPATCH |             413 |          813900 |       1.971e+03 |      9.284291 |             681 |            5853 |       1.112e+03 |
| microllm::runtime::detail::(anonymous namespace)::strided_copy_kernel(std::byte*, std::byte const*, unsigned long, long, microllm::runtime::detail::(anonymous namespace)::Layout)                                              | KERNEL_DISPATCH |             128 |          424367 |       3.315e+03 |      4.840824 |            1484 |            5373 |       7.090e+02 |
| microllm::ops::hip::(anonymous namespace)::rms_norm_kernel(float const*, float const*, float*, long, long, float)                                                                                                               | KERNEL_DISPATCH |             128 |          356698 |       2.787e+03 |      4.068913 |            2406 |            3849 |       2.362e+02 |
| void microllm::ops::hip::(anonymous namespace)::add_typed_kernel<float>(float const*, float const*, float*, long)                                                                                                               | KERNEL_DISPATCH |              96 |          251495 |       2.620e+03 |      2.868845 |            1884 |            3287 |       2.597e+02 |
| void microllm::ops::hip::(anonymous namespace)::cached_attention_fused_positions_kernel<float>(float const*, float const*, float const*, int const*, int const*, float*, long, long, long, long, long, long, long, long, float) | KERNEL_DISPATCH |              32 |          247886 |       7.746e+03 |      2.827676 |            6455 |            9622 |       8.566e+02 |
| void microllm::ops::hip::(anonymous namespace)::swiglu_typed_kernel<float>(float const*, float const*, float*, long)                                                                                                            | KERNEL_DISPATCH |              64 |          221145 |       3.455e+03 |      2.522637 |            2165 |            3769 |       2.399e+02 |
| microllm::ops::hip::(anonymous namespace)::causal_gqa_attention_kernel(float const*, float const*, float const*, float*, float*, long, long, long, long, long, long, float)                                                     | KERNEL_DISPATCH |              32 |          220186 |       6.881e+03 |      2.511698 |            5693 |            8660 |       9.298e+02 |
| microllm::ops::hip::(anonymous namespace)::rope_kernel(float const*, float*, long, long, long, long, long, float)                                                                                                               | KERNEL_DISPATCH |              64 |          204111 |       3.189e+03 |      2.328328 |            2606 |            4129 |       4.280e+02 |
| microllm::ops::hip::(anonymous namespace)::rope_positions_kernel(float const*, int const*, float*, long, long, long, float)                                                                                                     | KERNEL_DISPATCH |              64 |          186225 |       2.910e+03 |      2.124299 |            1203 |            4771 |       6.269e+02 |
| void microllm::ops::hip::(anonymous namespace)::fill_typed_kernel<float>(float*, long, float)                                                                                                                                   | KERNEL_DISPATCH |              64 |           99586 |       1.556e+03 |      1.135994 |            1283 |            1724 |       1.085e+02 |
| void microllm::ops::hip::(anonymous namespace)::add_rms_norm_kernel<256u>(float const*, float const*, float const*, float*, float*, long, long, float)                                                                          | KERNEL_DISPATCH |              32 |           95900 |       2.997e+03 |      1.093947 |            2726 |            3247 |       1.404e+02 |
| void microllm::ops::hip::(anonymous namespace)::kv_cache_store_pair_positions_kernel<float>(float const*, float const*, int const*, int const*, float*, float*, long, long, long, long, long, long)                             | KERNEL_DISPATCH |              32 |           77780 |       2.431e+03 |      0.887249 |             802 |            2846 |       3.399e+02 |
| microllm::ops::hip::(anonymous namespace)::embedding_kernel(float const*, int const*, float*, long, long, long)                                                                                                                 | KERNEL_DISPATCH |              32 |           75453 |       2.358e+03 |      0.860705 |            1844 |            4289 |       4.400e+02 |
| microllm::ops::hip::(anonymous namespace)::argmax_last_dim_kernel(float const*, int*, long, long)                                                                                                                               | KERNEL_DISPATCH |              18 |           65029 |       3.613e+03 |      0.741796 |            3288 |            5653 |       5.207e+02 |


ROCPROFV3 MEMORY_COPY SUMMARY:

|                   NAME                   |    DOMAIN    |      CALLS      | DURATION (nsec) | AVERAGE (nsec)  | PERCENT (INC) |   MIN (nsec)    |   MAX (nsec)    |     STDDEV      |
|------------------------------------------|--------------|-----------------|-----------------|-----------------|---------------|-----------------|-----------------|-----------------|
| MEMORY_COPY_HOST_TO_DEVICE               | MEMORY_COPY  |               8 |           66871 |       8.359e+03 |    100.000000 |            7978 |            9060 |       3.827e+02 |


ROCPROFV3 MEMORY_ALLOCATION SUMMARY:

|                   NAME                   |      DOMAIN       |      CALLS      | DURATION (nsec) | AVERAGE (nsec)  | PERCENT (INC) |   MIN (nsec)    |   MAX (nsec)    |     STDDEV      |
|------------------------------------------|-------------------|-----------------|-----------------|-----------------|---------------|-----------------|-----------------|-----------------|
| MEMORY_ALLOCATION_ALLOCATE               | MEMORY_ALLOCATION |            1365 |         2653727 |       1.944e+03 |     85.580576 |             133 |         1098322 |       4.014e+04 |
| MEMORY_ALLOCATION_FREE                   | MEMORY_ALLOCATION |            1361 |          447125 |       3.285e+02 |     14.419424 |             145 |            8314 |       2.409e+02 |


ROCPROFV3 SUMMARY:

|                                                                                                              NAME                                                                                                               |      DOMAIN       |      CALLS      | DURATION (nsec) | AVERAGE (nsec)  | PERCENT (INC) |   MIN (nsec)    |   MAX (nsec)    |     STDDEV      |
|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------|-----------------|-----------------|-----------------|---------------|-----------------|-----------------|-----------------|
| hipMemcpy                                                                                                                                                                                                                       | HIP_API           |             421 |       190133486 |       4.516e+05 |     65.392811 |            3230 |       186810123 |       9.104e+06 |
| hipGetDeviceCount                                                                                                                                                                                                               | HIP_API           |               1 |        61478208 |       6.148e+07 |     21.144265 |        61478208 |        61478208 |       0.000e+00 |
| hipLaunchKernel                                                                                                                                                                                                                 | HIP_API           |            1266 |        15772132 |       1.246e+04 |      5.424526 |            3043 |         9083535 |       2.554e+05 |
| hipFree                                                                                                                                                                                                                         | HIP_API           |            1361 |         9277910 |       6.817e+03 |      3.190961 |             844 |           55207 |       8.270e+03 |
| void microllm::ops::hip::(anonymous namespace)::matmul_typed_kernel<float>(float const*, float const*, float*, long, long, long, long)                                                                                          | KERNEL_DISPATCH   |             480 |         5426660 |       1.131e+04 |      1.866397 |            7578 |           46426 |       4.680e+03 |
| MEMORY_ALLOCATION_ALLOCATE                                                                                                                                                                                                      | MEMORY_ALLOCATION |            1365 |         2653727 |       1.944e+03 |      0.912699 |             133 |         1098322 |       4.014e+04 |
| hipMalloc                                                                                                                                                                                                                       | HIP_API           |            1361 |         1821372 |       1.338e+03 |      0.626426 |             713 |           43375 |       1.484e+03 |
| __amd_rocclr_copyBuffer                                                                                                                                                                                                         | KERNEL_DISPATCH   |             413 |          813900 |       1.971e+03 |      0.279925 |             681 |            5853 |       1.112e+03 |
| MEMORY_ALLOCATION_FREE                                                                                                                                                                                                          | MEMORY_ALLOCATION |            1361 |          447125 |       3.285e+02 |      0.153780 |             145 |            8314 |       2.409e+02 |
| microllm::runtime::detail::(anonymous namespace)::strided_copy_kernel(std::byte*, std::byte const*, unsigned long, long, microllm::runtime::detail::(anonymous namespace)::Layout)                                              | KERNEL_DISPATCH   |             128 |          424367 |       3.315e+03 |      0.145953 |            1484 |            5373 |       7.090e+02 |
| microllm::ops::hip::(anonymous namespace)::rms_norm_kernel(float const*, float const*, float*, long, long, float)                                                                                                               | KERNEL_DISPATCH   |             128 |          356698 |       2.787e+03 |      0.122680 |            2406 |            3849 |       2.362e+02 |
| hipSetDevice                                                                                                                                                                                                                    | HIP_API           |            4411 |          270063 |       6.122e+01 |      0.092883 |              50 |            1403 |       2.576e+01 |
| void microllm::ops::hip::(anonymous namespace)::add_typed_kernel<float>(float const*, float const*, float*, long)                                                                                                               | KERNEL_DISPATCH   |              96 |          251495 |       2.620e+03 |      0.086497 |            1884 |            3287 |       2.597e+02 |
| void microllm::ops::hip::(anonymous namespace)::cached_attention_fused_positions_kernel<float>(float const*, float const*, float const*, int const*, int const*, float*, long, long, long, long, long, long, long, long, float) | KERNEL_DISPATCH   |              32 |          247886 |       7.746e+03 |      0.085256 |            6455 |            9622 |       8.566e+02 |
| void microllm::ops::hip::(anonymous namespace)::swiglu_typed_kernel<float>(float const*, float const*, float*, long)                                                                                                            | KERNEL_DISPATCH   |              64 |          221145 |       3.455e+03 |      0.076059 |            2165 |            3769 |       2.399e+02 |
| microllm::ops::hip::(anonymous namespace)::causal_gqa_attention_kernel(float const*, float const*, float const*, float*, float*, long, long, long, long, long, long, float)                                                     | KERNEL_DISPATCH   |              32 |          220186 |       6.881e+03 |      0.075729 |            5693 |            8660 |       9.298e+02 |
| microllm::ops::hip::(anonymous namespace)::rope_kernel(float const*, float*, long, long, long, long, long, float)                                                                                                               | KERNEL_DISPATCH   |              64 |          204111 |       3.189e+03 |      0.070200 |            2606 |            4129 |       4.280e+02 |
| microllm::ops::hip::(anonymous namespace)::rope_positions_kernel(float const*, int const*, float*, long, long, long, float)                                                                                                     | KERNEL_DISPATCH   |              64 |          186225 |       2.910e+03 |      0.064049 |            1203 |            4771 |       6.269e+02 |
| void microllm::ops::hip::(anonymous namespace)::fill_typed_kernel<float>(float*, long, float)                                                                                                                                   | KERNEL_DISPATCH   |              64 |           99586 |       1.556e+03 |      0.034251 |            1283 |            1724 |       1.085e+02 |
| void microllm::ops::hip::(anonymous namespace)::add_rms_norm_kernel<256u>(float const*, float const*, float const*, float*, float*, long, long, float)                                                                          | KERNEL_DISPATCH   |              32 |           95900 |       2.997e+03 |      0.032983 |            2726 |            3247 |       1.404e+02 |
| void microllm::ops::hip::(anonymous namespace)::kv_cache_store_pair_positions_kernel<float>(float const*, float const*, int const*, int const*, float*, float*, long, long, long, long, long, long)                             | KERNEL_DISPATCH   |              32 |           77780 |       2.431e+03 |      0.026751 |             802 |            2846 |       3.399e+02 |
| microllm::ops::hip::(anonymous namespace)::embedding_kernel(float const*, int const*, float*, long, long, long)                                                                                                                 | KERNEL_DISPATCH   |              32 |           75453 |       2.358e+03 |      0.025951 |            1844 |            4289 |       4.400e+02 |
| hipGetLastError                                                                                                                                                                                                                 | HIP_API           |            1266 |           66925 |       5.286e+01 |      0.023018 |              39 |            1187 |       3.717e+01 |
| MEMORY_COPY_HOST_TO_DEVICE                                                                                                                                                                                                      | MEMORY_COPY       |               8 |           66871 |       8.359e+03 |      0.022999 |            7978 |            9060 |       3.827e+02 |
| microllm::ops::hip::(anonymous namespace)::argmax_last_dim_kernel(float const*, int*, long, long)                                                                                                                               | KERNEL_DISPATCH   |              18 |           65029 |       3.613e+03 |      0.022365 |            3288 |            5653 |       5.207e+02 |
| hipDeviceSynchronize                                                                                                                                                                                                            | HIP_API           |               2 |            1707 |       8.535e+02 |      0.000587 |             482 |            1225 |       5.254e+02 |

