"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipModuleLoad",4,3368519883,842129970.750000,68.29,143438263,1566905882,649673936.692797
"hipMemcpy",735,1428563734,1943624.127891,28.96,17207,226886272,11135893.472024
"hipGetDeviceCount",3,61357672,20452557.333333,1.24,51,61356737,35424058.714745
"hipLaunchKernel",1381,24009764,17385.781318,0.4868,3596,10741396,289463.864362
"hipMalloc",761,18803025,24708.311432,0.3812,1097,208717,30393.874646
"hipFree",198,13807127,69732.964646,0.2799,1297,172129,43297.840815
"hipDeviceGetAttribute",34422,5666231,164.610743,0.1149,117,8296,79.974431
"hipDeviceSynchronize",5,3348896,669779.200000,0.0679,853,2775588,1194612.434701
"hipGetDevicePropertiesR0600",18229,3036906,166.597509,0.0616,96,15010,141.818582
"hipExtModuleLaunchKernel",253,1983278,7839.043478,0.0402,3828,109353,8260.455727
"hipGetDevice",18227,1599473,87.752949,0.0324,46,9401,79.366772
"hipRuntimeGetVersion",17212,854290,49.633395,0.0173,40,1036,19.127003
"hipSetDevice",5759,692199,120.194305,0.0140,48,4194,175.969023
"hipGetLastError",1391,190412,136.888569,3.860e-03,39,1290,137.390453
"hipModuleGetFunction",17,56367,3315.705882,1.143e-03,617,4463,1119.847130
"hipMemset",2,34988,17494.000000,7.093e-04,13772,21216,5263.702879
"hipDriverGetVersion",1,724,724.000000,1.468e-05,724,724,0.00000000e+00
