"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipModuleLoad",4,3259940562,814985140.500000,81.88,141693217,1491172884,618017198.493824
"hipMemcpy",628,587822513,936023.109873,14.76,15526,224454545,8984770.639861
"hipGetDeviceCount",3,75134718,25044906.000000,1.89,53,75133883,43378326.533106
"hipLaunchKernel",1180,22499568,19067.430508,0.5651,3590,12180697,354751.287418
"hipFree",169,11959616,70766.958580,0.3004,1573,151405,43083.367315
"hipMalloc",652,10423385,15986.786810,0.2618,1014,119401,16915.973837
"hipDeviceGetAttribute",34422,5712979,165.968828,0.1435,119,11290,111.578729
"hipGetDevicePropertiesR0600",18085,3051424,168.726790,0.0766,97,14749,135.160479
"hipExtModuleLaunchKernel",217,1633488,7527.594470,0.0410,4092,103560,9859.348785
"hipGetDevice",18083,1262103,69.795001,0.0317,44,1676,35.503449
"hipRuntimeGetVersion",17212,864572,50.230769,0.0217,40,11651,109.904370
"hipSetDevice",4925,558024,113.304365,0.0140,49,10330,235.052902
"hipDeviceSynchronize",5,308892,61778.400000,7.758e-03,937,214693,87769.817174
"hipGetLastError",1191,139816,117.393787,3.512e-03,40,5374,191.228563
"hipModuleGetFunction",18,42090,2338.333333,1.057e-03,506,3888,1148.843767
"hipMemset",2,36938,18469.000000,9.278e-04,14902,22036,5044.499777
"hipDriverGetVersion",1,1278,1278.000000,3.210e-05,1278,1278,0.00000000e+00
