model	layer	stage_index	stage	elements	max_abs	rms_abs	relative_l2	delta_relative_l2	exact
qwen2.5-0.5b	21	0	inference.blocks.21.attention_norm	7168	1.7298417091369629	0.14046154800033109	0.088982095612411549	0.088982095612411549	false
qwen2.5-0.5b	21	1	inference.blocks.21.attention.q_projection	7168	0.53050613403320312	0.089816966703322301	0.04624738133567291	-0.042734714276738639	false
qwen2.5-0.5b	21	2	inference.blocks.21.attention.k_projection	1024	0.50319409370422363	0.10284481009266419	0.063481517083725555	0.017234135748052645	false
qwen2.5-0.5b	21	3	inference.blocks.21.attention.v_projection	1024	0.67601346969604492	0.17322264629130296	0.11870259243285437	0.055221075349128818	false
qwen2.5-0.5b	21	4	inference.blocks.21.attention.q_rope	7168	0.53057360649108887	0.089816968437237826	0.046247382216640522	-0.072455210216213844	false
qwen2.5-0.5b	21	5	inference.blocks.21.attention.k_rope	1024	0.50319170951843262	0.10284480921768969	0.063481516316048925	0.017234134099408403	false
qwen2.5-0.5b	21	6	inference.blocks.21.attention.value	1024	0.67601346969604492	0.17322264629130296	0.11870259243285437	0.055221076116805448	false
qwen2.5-0.5b	21	7	inference.blocks.21.attention.context	7168	0.64612424373626709	0.081023376752278539	0.094620072839409944	-0.024082519593444429	false
qwen2.5-0.5b	21	8	inference.blocks.21.attention.output	7168	0.89203357696533203	0.047412418600146847	0.11161791381801588	0.016997840978605933	false
qwen2.5-0.5b	21	9	inference.blocks.21.attention_residual	7168	12.238525390625	0.194580601702977	0.0094207270843355232	-0.10219718673368035	false
qwen2.5-0.5b	21	10	inference.blocks.21.ffn_norm	7168	0.939483642578125	0.11595917630568146	0.035461673196170926	0.026040946111835404	false
qwen2.5-0.5b	21	11	inference.blocks.21.ffn.gate	38912	1.15362548828125	0.085435026933177144	0.045692664893369248	0.010230991697198322	false
qwen2.5-0.5b	21	12	inference.blocks.21.ffn.up	38912	1.5076179504394531	0.075487181694020952	0.069296581487882813	0.023603916594513566	false
qwen2.5-0.5b	21	13	inference.blocks.21.ffn.activated	38912	20.6583251953125	0.1217708472470214	0.012925460295494826	-0.056371121192387991	false
qwen2.5-0.5b	21	14	inference.blocks.21.ffn.output	7168	28.3804931640625	0.34931460751657784	0.017426289583540134	0.0045008292880453077	false
qwen2.5-0.5b	21	15	inference.blocks.21	7168	40.6190185546875	0.50708241072713234	0.2120999529327805	0.19467366334924036	false
deepseek-r1-distill-qwen-1.5b	27	0	inference.blocks.27.attention_norm	12288	0.36299848556518555	0.03781017834249998	0.052176579964442506	0.052176579964442506	false
deepseek-r1-distill-qwen-1.5b	27	1	inference.blocks.27.attention.q_projection	12288	0.27962064743041992	0.04779204657386573	0.043108942480752283	-0.0090676374836902232	false
deepseek-r1-distill-qwen-1.5b	27	2	inference.blocks.27.attention.k_projection	2048	0.34415364265441895	0.052289293964169037	0.049480475667122117	0.0063715331863698349	false
deepseek-r1-distill-qwen-1.5b	27	3	inference.blocks.27.attention.v_projection	2048	0.67929255962371826	0.14054449893576579	0.079431948671624897	0.029951473004502779	false
deepseek-r1-distill-qwen-1.5b	27	4	inference.blocks.27.attention.q_rope	12288	0.2794649600982666	0.047792046677622692	0.043108942623336671	-0.036323006048288226	false
deepseek-r1-distill-qwen-1.5b	27	5	inference.blocks.27.attention.k_rope	2048	0.34416437149047852	0.052289294823585498	0.049480476422909217	0.0063715337995725457	false
deepseek-r1-distill-qwen-1.5b	27	6	inference.blocks.27.attention.value	2048	0.67929255962371826	0.14054449893576579	0.079431948671624897	0.02995147224871568	false
deepseek-r1-distill-qwen-1.5b	27	7	inference.blocks.27.attention.context	12288	0.40930777788162231	0.059100098174956255	0.066282690267627176	-0.013149258403997721	false
deepseek-r1-distill-qwen-1.5b	27	8	inference.blocks.27.attention.output	12288	10.414036750793457	0.23099271242588476	0.085820381267112333	0.019537690999485158	false
deepseek-r1-distill-qwen-1.5b	27	9	inference.blocks.27.attention_residual	12288	169.120361328125	2.3516811170391358	0.03879890174700748	-0.047021479520104853	false
deepseek-r1-distill-qwen-1.5b	27	10	inference.blocks.27.ffn_norm	12288	1.1991772651672363	0.055860221751371592	0.046266523076648643	0.0074676213296411623	false
deepseek-r1-distill-qwen-1.5b	27	11	inference.blocks.27.ffn.gate	71680	1.4685821533203125	0.11631615480210739	0.043096130641730769	-0.0031703924349178736	false
deepseek-r1-distill-qwen-1.5b	27	12	inference.blocks.27.ffn.up	71680	2.7152481079101562	0.10959159831962859	0.038846880308638289	-0.0042492503330924802	false
deepseek-r1-distill-qwen-1.5b	27	13	inference.blocks.27.ffn.activated	71680	11.222892761230469	0.27629687825844251	0.043301498964197271	0.0044546186555589826	false
deepseek-r1-distill-qwen-1.5b	27	14	inference.blocks.27.ffn.output	12288	94.244873046875	2.0946047825041956	0.032361704738976718	-0.010939794225220553	false
deepseek-r1-distill-qwen-1.5b	27	15	inference.blocks.27	12288	195.063232421875	3.2396944530484948	0.11499582346626135	0.082634118727284628	false
