model	context	fraction	max_abs	rms	top_equal	precision_gate
qwen2.5-0.5b	8	1.0	0.7933318018913269	0.1725512826985301	True	False
qwen2.5-0.5b	8	0.75	3.5909309685230255	0.9166428201787644	True	False
qwen2.5-0.5b	8	0.5	11.542840480804443	2.847905638368327	True	False
qwen2.5-0.5b	8	0.25	16.846403777599335	3.290282811566628	False	False
qwen2.5-0.5b	512	1.0	1.9172868728637695	0.3756110151205255	True	False
qwen2.5-0.5b	512	0.75	11.893853902816772	2.670406577572333	True	False
qwen2.5-0.5b	512	0.5	16.22902488708496	3.760320478562087	True	False
qwen2.5-0.5b	512	0.25	22.811004161834717	4.1660510152752765	False	False
deepseek-r1-distill-qwen-1.5b	8	1.0	1.1173779964447021	0.31368030086119386	True	False
deepseek-r1-distill-qwen-1.5b	8	0.75	2.3759801983833313	0.6570094146555778	True	False
deepseek-r1-distill-qwen-1.5b	8	0.5	7.100327491760254	1.6101924245847994	True	False
deepseek-r1-distill-qwen-1.5b	8	0.25	14.073369860649109	2.2730533898638536	True	False
deepseek-r1-distill-qwen-1.5b	512	1.0	1.2135610580444336	0.28570745209844517	True	False
deepseek-r1-distill-qwen-1.5b	512	0.75	3.7499494552612305	0.9302248803613675	True	False
deepseek-r1-distill-qwen-1.5b	512	0.5	10.545318100601435	2.247897792036611	True	False
deepseek-r1-distill-qwen-1.5b	512	0.25	11.647573471069336	2.0833498829551234	True	False
