model	context	fraction	max	rms	top_equal	gate
qwen2.5-0.5b	8	1.0	1.2144723534584045	0.2778311788476209	True	False
qwen2.5-0.5b	8	0.75	4.595874786376953	1.0843244399417262	True	False
qwen2.5-0.5b	8	0.5	12.462437152862549	2.712225911911488	False	False
qwen2.5-0.5b	8	0.25	14.1260404586792	3.102373204206549	False	False
qwen2.5-0.5b	512	1.0	1.830350399017334	0.3432300639202133	True	False
qwen2.5-0.5b	512	0.75	10.504230856895447	2.2466470145466757	True	False
qwen2.5-0.5b	512	0.5	15.354117631912231	3.263802015028227	False	False
qwen2.5-0.5b	512	0.25	22.461210250854492	4.180518153988271	False	False
deepseek-r1-distill-qwen-1.5b	8	1.0	0.7741536945104599	0.1730619472731373	True	False
deepseek-r1-distill-qwen-1.5b	8	0.75	2.286073923110962	0.6987194446977204	True	False
deepseek-r1-distill-qwen-1.5b	8	0.5	7.585490703582764	2.0875025387586916	True	False
deepseek-r1-distill-qwen-1.5b	8	0.25	14.488238334655762	3.1186447741248022	False	False
deepseek-r1-distill-qwen-1.5b	512	1.0	0.9137680530548096	0.16388398044059888	True	False
deepseek-r1-distill-qwen-1.5b	512	0.75	3.061507984995842	0.6171354393415198	True	False
deepseek-r1-distill-qwen-1.5b	512	0.5	10.095552563667297	2.1712335571799612	True	False
deepseek-r1-distill-qwen-1.5b	512	0.25	12.454096794128418	2.203192709668661	True	False
