model	context	fraction	max	rms	top	gate
qwen2.5-0.5b	8	1.0	1.2144723534584045	0.2778311788476209	True	False
qwen2.5-0.5b	8	0.95	1.2792835235595703	0.29453194683397943	True	False
qwen2.5-0.5b	8	0.9	2.181161880493164	0.5676525145369975	True	False
qwen2.5-0.5b	8	0.85	2.490687370300293	0.6123382484992395	True	False
qwen2.5-0.5b	512	1.0	1.830350399017334	0.3432300639202133	True	False
qwen2.5-0.5b	512	0.95	2.9445468187332153	0.7395172686880237	True	False
qwen2.5-0.5b	512	0.9	5.889399588108063	1.7104719078571489	True	False
qwen2.5-0.5b	512	0.85	9.56740927696228	2.8331149532708175	True	False
deepseek-r1-distill-qwen-1.5b	8	1.0	0.7741536945104599	0.1730619472731373	True	False
deepseek-r1-distill-qwen-1.5b	8	0.95	1.0752792358398438	0.2790745564431026	True	False
deepseek-r1-distill-qwen-1.5b	8	0.9	1.16599440574646	0.25323835974174963	True	False
deepseek-r1-distill-qwen-1.5b	8	0.85	1.6314606666564941	0.41073015933941975	True	False
deepseek-r1-distill-qwen-1.5b	512	1.0	0.9137680530548096	0.16388398044059888	True	False
deepseek-r1-distill-qwen-1.5b	512	0.95	1.0543888807296753	0.23617693094249362	True	False
deepseek-r1-distill-qwen-1.5b	512	0.9	1.2968401908874512	0.24139088826926916	True	False
deepseek-r1-distill-qwen-1.5b	512	0.85	2.08791720867157	0.3926412348991514	True	False
