model	rank	layer	max	max_over_baseline	rms	rms_over_baseline	top_equal	gate	linears	dynamic	post	native	fallback_shapes	fallback_calls
qwen2.5-0.5b	1	9	0.8654556274414062	0.7126186322618895	0.18497003428334774	0.6657641343587154	True	False	161	92	23	4	0	0
qwen2.5-0.5b	2	7	1.09140944480896	0.8986696499932639	0.20471013884679334	0.7368148517235661	True	False	161	92	23	4	0	0
qwen2.5-0.5b	3	10	1.0353779792785645	0.8525331814513191	0.20500540656816893	0.737877611211541	True	False	161	92	23	4	0	0
qwen2.5-0.5b	4	13	1.1157948970794678	0.9187487009498925	0.2133163025316933	0.767791085998626	True	False	161	92	23	4	0	0
qwen2.5-0.5b	5	4	1.0168766975402832	0.8372991732949407	0.21962337583707567	0.7904921857511542	True	False	161	92	23	4	0	0
qwen2.5-0.5b	6	2	1.1657638549804688	0.9598932834170901	0.22335216051492143	0.8039132304780704	True	False	161	92	23	4	0	0
qwen2.5-0.5b	7	3	1.1623163223266602	0.957054575196198	0.2259919698029876	0.8134147173126852	True	False	161	92	23	4	0	0
qwen2.5-0.5b	8	0	1.0366871356964111	0.8536111445800133	0.22609519279043044	0.8137862486428655	True	False	161	92	23	4	0	0
qwen2.5-0.5b	9	6	1.1967246532440186	0.9853864930199139	0.23042780154128104	0.8293806422196457	True	False	161	92	23	4	0	0
qwen2.5-0.5b	10	14	1.0291763544082642	0.8474267458435918	0.2306852168111695	0.8303071590740756	True	False	161	92	23	4	0	0
qwen2.5-0.5b	11	8	1.071998953819275	0.8826869963458502	0.2320894988461089	0.8353616027141453	True	False	161	92	23	4	0	0
qwen2.5-0.5b	12	12	1.040862649679184	0.8570492747036693	0.2353277193514372	0.8470169558633479	True	False	161	92	23	4	0	0
qwen2.5-0.5b	13	18	1.0912342071533203	0.8985253588077622	0.23705222021048894	0.853223965696458	True	False	161	92	23	4	0	0
qwen2.5-0.5b	14	22	1.1914010047912598	0.9810029856987313	0.2408772687978033	0.8669914938881453	True	False	161	92	23	4	0	0
qwen2.5-0.5b	15	15	1.1140321493148804	0.9172972494124674	0.25065474246052355	0.9021836336014595	True	False	161	92	23	4	0	0
qwen2.5-0.5b	16	16	1.0657019019126892	0.8775019858442494	0.2521549422404433	0.9075833147536695	True	False	161	92	23	4	0	0
qwen2.5-0.5b	17	19	1.1584161818027496	0.9538431883640447	0.2527671358782429	0.9097867882455173	True	False	161	92	23	4	0	0
qwen2.5-0.5b	18	11	1.1911258697509766	0.9807764387217666	0.2551154436792476	0.9182390714296614	True	False	161	92	23	4	0	0
qwen2.5-0.5b	19	23	1.187988519668579	0.9781931357149395	0.26394042810223406	0.9500029089499514	True	False	161	92	23	4	0	0
qwen2.5-0.5b	20	1	1.1903581619262695	0.9801443059090922	0.2642413058586585	0.9510858606822676	True	False	161	92	23	4	0	0
qwen2.5-0.5b	21	21	1.245530605316162	1.0255734531702712	0.2659924866966806	0.9573888999785969	True	False	161	92	23	4	0	0
qwen2.5-0.5b	22	5	1.1657664477825165	0.9598954183376919	0.27787536321482165	1.0001590331487777	True	False	161	92	23	4	0	0
qwen2.5-0.5b	23	20	1.252842903137207	1.0315944200537264	0.2787387596199664	1.003266662784609	True	False	161	92	23	4	0	0
qwen2.5-0.5b	24	17	1.3128443360328674	1.08099977104817	0.2928203823142792	1.0539507607779302	True	False	161	92	23	4	0	0
deepseek-r1-distill-qwen-1.5b	1	9	0.7913603782653809	1.022226444021302	0.1719882601062657	0.9937959373288626	True	False	190	109	27	4	1	27
deepseek-r1-distill-qwen-1.5b	2	27	0.8294835090637207	1.0714713563283438	0.1729044106482429	0.9990897096249254	True	False	190	109	27	4	1	27
deepseek-r1-distill-qwen-1.5b	3	25	0.8917789459228516	1.15194043798599	0.17415035255107375	1.0062891080048848	True	False	190	109	27	4	1	27
deepseek-r1-distill-qwen-1.5b	4	1	0.9421346187591553	1.2169865305040222	0.17421113099067878	1.00664030271038	True	False	190	109	27	4	1	27
deepseek-r1-distill-qwen-1.5b	5	13	0.8407625332474709	1.086040845906098	0.1763192781292276	1.0188217624233094	True	False	190	109	27	4	1	27
deepseek-r1-distill-qwen-1.5b	6	17	0.8398473262786865	1.0848586427140523	0.17817183680956833	1.0295263610339844	True	False	190	109	27	4	1	27
deepseek-r1-distill-qwen-1.5b	7	21	0.9075155258178711	1.1722679000992733	0.17817291855676	1.0295326116697177	True	False	190	109	27	4	1	27
deepseek-r1-distill-qwen-1.5b	8	16	0.9122154712677002	1.1783389754983271	0.17822122021249204	1.0298117120525174	True	False	190	109	27	4	1	27
deepseek-r1-distill-qwen-1.5b	9	8	0.9381110668182373	1.2117891750312666	0.17876059911556352	1.0329283931691364	True	False	190	109	27	4	1	27
deepseek-r1-distill-qwen-1.5b	10	20	0.898269534111023	1.160324545992186	0.17927830955079835	1.0359198678600905	True	False	190	109	27	4	1	27
deepseek-r1-distill-qwen-1.5b	11	6	0.8857321739196777	1.144129622063969	0.18180226178506165	1.0505039649076051	True	False	190	109	27	4	1	27
deepseek-r1-distill-qwen-1.5b	12	7	0.8559281826019287	1.105630818106706	0.18180757685128135	1.0505346768365038	True	False	190	109	27	4	1	27
deepseek-r1-distill-qwen-1.5b	13	4	0.842458963394165	1.0882321809842919	0.18540613993209684	1.071328173832906	True	False	190	109	27	4	1	27
deepseek-r1-distill-qwen-1.5b	14	15	0.8841817378997803	1.142126872440875	0.1857235042849053	1.0731619932126657	True	False	190	109	27	4	1	27
deepseek-r1-distill-qwen-1.5b	15	26	0.8070540130138397	1.0424984324646083	0.18811806277470977	1.0869984172650615	True	False	190	109	27	4	1	27
deepseek-r1-distill-qwen-1.5b	16	23	0.9004353582859039	1.1631222129028254	0.1886150075669304	1.0898699023029381	True	False	190	109	27	4	1	27
deepseek-r1-distill-qwen-1.5b	17	22	0.8497507572174072	1.0976512328792172	0.19256686565315184	1.1127048359696925	True	False	190	109	27	4	1	27
deepseek-r1-distill-qwen-1.5b	18	2	0.9691738188266754	1.2519139619162285	0.20493507445665307	1.1841717817563417	True	False	190	109	27	4	1	27
deepseek-r1-distill-qwen-1.5b	19	18	1.042496919631958	1.3466278427970124	0.21604049847495368	1.2483420063105202	True	False	190	109	27	4	1	27
deepseek-r1-distill-qwen-1.5b	20	3	0.9013998508453369	1.1643680799267409	0.21671783211512355	1.2522558282155798	True	False	190	109	27	4	1	27
deepseek-r1-distill-qwen-1.5b	21	24	0.9774537086486816	1.2626093701804002	0.2244269944331717	1.2968015093402758	True	False	190	109	27	4	1	27
deepseek-r1-distill-qwen-1.5b	22	19	0.8757939636707306	1.1312921063104187	0.23118025168562115	1.3358237054894444	True	False	190	109	27	4	1	27
deepseek-r1-distill-qwen-1.5b	23	5	0.9361017793416977	1.2091937117650087	0.24715442311118183	1.428126904877056	True	False	190	109	27	4	1	27
deepseek-r1-distill-qwen-1.5b	24	11	1.004192590713501	1.2971488708692496	0.25787850710447974	1.4900936408480343	True	False	190	109	27	4	1	27
deepseek-r1-distill-qwen-1.5b	25	0	1.1033058166503906	1.4251767116451879	0.2695228255028924	1.557377746810594	True	False	190	109	27	4	1	27
deepseek-r1-distill-qwen-1.5b	26	10	1.1358511447906494	1.4672165912854176	0.27802415207961867	1.606500773048759	True	False	190	109	27	4	1	27
deepseek-r1-distill-qwen-1.5b	27	12	1.2207015752792358	1.5768207061921378	0.31046388337572084	1.793946550744209	True	False	190	109	27	4	1	27
deepseek-r1-distill-qwen-1.5b	28	14	1.1737844944000244	1.516216356937072	0.31508696236879047	1.8206599852450538	True	False	190	109	27	4	1	27
