experiment	commit	date	status	score	qwen_train	qwen_generate	deepseek_train	deepseek_generate	qwen_train_mem	qwen_generate_mem	deepseek_train_mem	deepseek_generate_mem	description
000	aa486c8	2026-08-20	baseline	0.191660	0.142235	0.267461	0.220921	0.160553	0.950951	1.225171	0.797368	0.988725	FP32 MI300X baseline; 2 warm-up and 5 measured iterations
001	467448f	2026-08-20	keep	0.318328	0.468137	0.268544	0.506955	0.161117	0.950951	1.225171	0.797368	0.988725	parallel HIP CrossEntropy; CE kernel share 75.7% to 0.62%
002	f29566e	2026-08-20	keep	0.479227	0.755435	0.503757	0.852426	0.162589	0.896769	0.960639	0.797368	0.988725	transpose-aware GEMM; strided-copy time 62.33ms to 2.16ms
003	12faec2	2026-08-20	keep	0.885816	1.384483	0.816751	1.826933	0.298040	0.896769	0.960639	0.797368	0.988725	block-parallel HIP RMSNorm; RMSNorm time 75.85ms to 1.55ms
004	38f0e1c	2026-08-20	keep	1.167931	1.409241	1.220315	1.886431	0.573549	0.896769	0.960651	0.797368	0.988733	right-sized device KV cache and direct GQA; score crosses selected-matrix parity
005	7e6c760	2026-08-20	keep	1.219170	1.409241	1.329965	1.886431	0.624872	0.896769	0.960651	0.797368	0.988733	device greedy argmax; generated-token D2H records 9 to 1
006	36fffbf	2026-08-20	keep	1.700597	2.086361	1.921682	2.660319	0.784152	0.896769	0.960651	0.797368	0.988733	steady-state exact-size HIP pool; measured backend allocations reduced 7x to 66x
007	d1d0076	2026-08-20	discard	1.669755	2.188328	1.804502	2.522112	0.780506	0.896769	0.960651	0.797368	0.988733	thread-local hipBLASLt descriptor cache; Qwen generate and DeepSeek train regressed over 5%
008	c4a15f4	2026-08-20	discard	1.646877	2.092379	1.746652	2.566486	0.784257	0.896769	0.960651	0.797368	0.988733	hipBLASLt algorithm cache; three-process Qwen generation median regressed 9.1%
009	60eaa20	2026-08-20	keep	1.752183	2.086361	2.026893	2.622345	0.849978	0.896769	0.960651	0.797368	0.988733	fused cached decode Attention; generation medians improved 5.5% and 8.1%
010	25505f1	2026-08-20	discard	0	0	0	0	0	0	0	0	0	copy-on-write gradient add_; measured logical allocations unchanged
011	929a7d4	2026-08-20	discard	1.725932	2.086361	1.869574	2.622345	0.867506	0.896769	0.960651	0.797368	0.988733	hipBLASLt bias epilogue; Qwen generation median regressed 7.8%
012	c12b0f8	2026-08-20	keep	1.770568	2.086361	2.100335	2.622345	0.855230	0.896769	0.960651	0.797368	0.988733	two-stage large-vocabulary argmax; Kernel time reduced 96.7%
013	a2db7d1	2026-08-20	discard	0	0	0	0	0	0	0	0	0	MI300X FP32 M=1 GroupedGemm returned no heuristic for QKV shapes
016	d8b4e4f	2026-08-20	keep	1.784147	2.190520	2.023477	2.570163	0.889440	0.896740	0.960651	0.797351	0.988733	fused Q/K projection bias plus split-half RoPE; paired inference medians improved 13.7% and 6.6%
017	4d3559e	2026-08-20	keep	1.803226	2.190520	2.202850	2.570163	0.852525	0.896740	0.960651	0.797351	0.988733	fused cached residual add plus RMSNorm; Qwen gained 8.9% while DeepSeek regressed 4.2%
018	d8a4eba	2026-08-20	keep	1.845199	2.190520	2.202850	2.570163	0.934716	0.896740	0.960651	0.797351	0.988733	512-thread wide residual normalization; DeepSeek generation median improved 9.6%
